arts and media|lead|lead (FILM/PLAY)|C2|noun|the main person in a film or play|She plays the lead in both films.|A child who leaves school feeling that he has succeeded in leaving his mark by holding the school record for high jump or getting the lead in the school production is a happy, confident child who is able to face the next chapter in his life knowing he can and will do well. (Certificate of Proficiency in English; C2; Portuguese)|https://www.englishprofile.org/evp/audio/UKLDRIV004.mp3|https://www.englishprofile.org/british-english/words/detail/3311|/liːd/
communication|inform|inform (TELL)|B1|verb|to tell someone about something|If he calls me again, I shall inform the police.^I informed my boss that I was going to be away next week.|This letter is to inform you that I will not be able to attend tomorrow's class due to medical issues. (Preliminary English Test; B1; Spanish)|https://www.englishprofile.org/evp/audio/UKINFIR025.mp3|https://www.englishprofile.org/british-english/words/detail/2997|/ɪnˈfɔːm/
other|seriously|seriously (BADLY)|B1|adverb|badly or severely|seriously ill/worried^He wasn't seriously injured - he just got a few cuts and bruises.|She is seriously ill with cancer. (Preliminary English Test; B1; Thai)|https://www.englishprofile.org/evp/audio/UKSEREN015.mp3|https://www.englishprofile.org/british-english/words/detail/5224|/ˈsɪə.ri.ə.sli/
other|reject|reject (JOB/COURSE)|B2|verb|to refuse to accept someone for a job, course, etc.| She applied to Cambridge University but was rejected. ^He applied for a job as a chef, but he was rejected.|[S]he rejected the proposal for a long, long time, [but] she finally married the Crown Prince 6 years ago. (First Certificate in English; B2; Japanese)|https://www.englishprofile.org/evp/audio/UKREJEC002.mp3|https://www.englishprofile.org/british-english/words/detail/4797|/rɪˈdʒekt/
communication|oh|oh (NEW IDEA)|A1|exclamation|introduces an idea that you have just thought of, or something that you have just remembered|Oh, I've just thought of a problem.^Oh, and don't forget to lock the back door.^Oh yeah, someone phoned for you while you were out.|Oh, and don't forget to show up in old clothes, ok? (Key English Test; A2; Portuguese)|https://www.englishprofile.org/evp/audio/UKNUTRA027.mp3|https://www.englishprofile.org/british-english/words/detail/3966|/əʊ/
people: personality|hero|hero (BRAVE PERSON)|B1|noun|someone who does something brave or good, which people respect or admire them for|a war hero^He became a national hero for his part in the revolution.^They consider her a hero.^Graham says he'll take my parents to the airport at four o'clock in the morning - what a hero!|I couldn't believe it and while I was wondering if this was a dream, Mike Skinner, my hero, appeared and instantly started chatting with me as if we had been friends for years. (Preliminary English Test; B1; German)|https://www.englishprofile.org/evp/audio/UKHERES015.mp3|https://www.englishprofile.org/british-english/words/detail/2712|/ˈhɪə.rəʊ/
body and health|unconscious|unconscious (AS THOUGH SLEEPING)|B2|adjective|in a state as though you are sleeping, for example because you have been hit on the head|She was hit on the head by a stone and knocked unconscious.|In the morning, Mrs Crozier went to visit Miss Appleford in number 42 only to find her lying on the floor unconscious. (First Certificate in English; B2; Polish)|https://www.englishprofile.org/evp/audio/UKUNCHR030.mp3|https://www.englishprofile.org/british-english/words/detail/6262|/ʌnˈkɒn.tʃəs/
other|speed|speed (MOVEMENT)|B2|noun|very fast movement|I get a real thrill from speed.^He put on a sudden burst of speed.^Both cars were travelling at speed when the accident happened.|Every summer I go to watersports because I like water. I'm very good at swimming and I like the speed of some watersports. (First Certificate in English; B2; Greek)|https://www.englishprofile.org/evp/audio/UKSPECT014.mp3|https://www.englishprofile.org/british-english/words/detail/5538|/spiːd/
other|meet|meet (ENOUGH)|C1|verb|to be a big enough amount or of a good enough quality for something|We couldn't find a house that met our needs/requirements.^ This old building will never meet the new fire regulations. |Finally, as regards the Internet centre only two computers were available, which did not meet the needs of a Museum like this. (Certificate in Advanced English; C1; Greek)|https://www.englishprofile.org/evp/audio/UKMEANT012.mp3|https://www.englishprofile.org/british-english/words/detail/3575|/miːt/
travel|tank|tank (VEHICLE)|C1|noun|a large, strong military vehicle with a gun on it which moves on wheels inside large metal belts|Tanks rolled into the city at dawn.|They were inside the university and they were transmit[t]ing [o]n a radio frequency when the tanks invaded from the main entrance. (Certificate in Advanced English; C1; Greek)|https://www.englishprofile.org/evp/audio/UKTALMU029.mp3|https://www.englishprofile.org/british-english/words/detail/5889|/tæŋk/
